format, N, density, time, runs, diagonals
csr, 4096, 0.01, 0.2947136, 5, 41
bsr, 4096, 0.01, 0.2921374, 5, 41
dia, 4096, 0.01, 0.1323251, 5, 41
csr, 4096, 0.05, 1.327038, 5, 211
bsr, 4096, 0.05, 1.3546637, 5, 211
dia, 4096, 0.05, 0.6487773, 5, 211
csr, 4096, 0.1, 2.6173592, 5, 433
bsr, 4096, 0.1, 2.6418693, 5, 433
dia, 4096, 0.1, 1.1695971, 5, 433
csr, 4096, 0.2, 5.1944175, 5, 923
bsr, 4096, 0.2, 5.2262317, 5, 923
dia, 4096, 0.2, 4.6896843, 5, 923
csr, 4096, 0.3, 7.7693262, 5, 1505
bsr, 4096, 0.3, 7.6975908, 5, 1505
dia, 4096, 0.3, 7.8911246, 5, 1505
csr, 4096, 0.5, 12.9871215, 5, 4095
bsr, 4096, 0.5, 12.8145, 5, 4095
dia, 4096, 0.5, 19.1541314, 5, 4095
